Body Type,Club,Club (group),Contract Valid Until,Height,ID,Jersey Number,Joined,Loaned From,Name,Nationality,Play|Not_Play,Position,Preferred Foot,Release Clause,Value,Wage,Weight,Work Rate,Acceleration,Age,Aggression,Agility,Balance,Ball Control,Composure,Crossing,Curve,Dribbling,F1,Finishing,FK Accuracy,GK calculation,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Heading Accuracy,Interceptions,International Reputation,Jumping,Long Passing,Long Shots,Marking,Number of Records,Overall,Penalties,Positioning,Potential,Reactions,Short Passing,Shot Power,Skill Moves,Sliding Tackle,Special,Sprint Speed,Stamina,Standing Tackle,Strength,Vision,Volleys,Weak Foot
Normal,SV Werder Bremen,SV Werder Bremen,2021,6'1,177666,9,01-07-2018,,M. Harnik,Austria,No,ST,Right,€13.6M,€8M,€31K,176lbs,High/ Medium,75,31,72,69,64,71,75,68,73,74,895,76,52,High,15,10,12,6,14,77,39,2,90,69,69,54,1,77,72,78,77,76,72,78,3,42,1975,76,79,32,77,68,76,4
Normal,Beijing Renhe FC,Beijing Renhe FC,31-Dec-18,5'11,185090,38,,Jiangsu Suning FC,B. Moukandjo,Cameroon,No,CAM,Right,,€9M,€25K,163lbs,High/ Low,91,29,51,83,70,75,77,75,71,77,896,79,71,Low,14,14,8,12,10,66,32,2,71,60,64,34,1,77,79,77,77,76,69,75,4,19,1916,93,80,20,65,65,70,3
Normal,PSV,PSV,2020,6'2,229636,16,15-07-2015,,G. Pereiro,Uruguay,No,RM,Left,€17.7M,€12M,€15K,168lbs,Medium/ Low,72,23,57,74,56,83,76,73,72,79,897,72,73,Low,7,15,10,10,12,73,30,1,70,62,76,36,1,77,70,75,82,74,72,81,3,36,1922,75,67,40,75,77,68,2
Normal,VfB Stuttgart,VfB Stuttgart,2021,5'8,167431,8,01-07-2018,,G. Castro,Germany,No,CM,Right,€12.8M,€7.5M,€34K,159lbs,Medium/ Medium,70,31,64,80,78,78,81,77,79,77,898,66,73,High,14,8,13,10,15,47,76,2,73,77,73,74,1,77,58,73,77,77,80,75,3,68,2063,65,71,65,65,78,66,4
Lean,1. FSV Mainz 05,1. FSV Mainz 05,30-Jun-19,5'11,236295,3,,RCD Espanyol,Aarón Martín,Spain,Yes,LB,Left,,€11M,€18K,159lbs,High/ Medium,76,21,60,68,67,75,70,76,62,71,899,33,54,Low,11,14,10,12,12,73,78,1,61,61,28,78,1,77,43,60,85,77,76,55,3,76,1831,69,77,78,60,59,21,3
Normal,Borussia Mönchengladbach,Borussia Mönchengladbach,2020,6'0,177159,19,01-07-2014,,F. Johnson,United States,Yes,LM,Right,€14.5M,€8.5M,€29K,163lbs,Medium/ Medium,78,30,71,73,72,76,70,76,72,79,900,70,57,High,7,7,10,12,15,60,65,2,69,69,58,62,1,77,53,74,77,75,76,69,3,73,2007,79,76,75,60,73,66,4
Normal,Genoa,Genoa,30-Jun-19,6'3,215051,5,,SL Benfica,L. López,Argentina,No,CB,Right,,€7M,€13K,181lbs,Medium/ High,64,28,79,64,55,62,75,33,37,61,901,48,32,High,14,12,8,6,13,79,79,3,87,58,44,76,1,77,48,38,77,73,66,67,2,75,1745,66,55,76,79,41,50,3
Normal,Toulouse Football Club,Toulouse Football Club,2020,5'8,183820,14,03-08-2018,,M. Dossevi,Togo,No,RM,Right,€17M,€8.5M,€30K,143lbs,High/ Medium,80,30,45,76,76,77,68,82,69,78,902,62,71,Low,13,14,12,10,11,54,32,1,76,70,71,41,1,77,68,75,77,72,78,71,3,25,1886,80,71,30,58,76,62,3
Normal,FC Augsburg,FC Augsburg,2020,6'0,189196,30,11-07-2014,,Caiuby,BRAZIL,No,LM,Right,€14.5M,€8.5M,€27K,187lbs,High/ Medium,77,29,73,73,66,74,64,72,68,74,903,73,49,High,13,7,15,7,15,80,49,2,91,64,72,37,1,77,61,76,77,76,73,85,3,22,1952,87,86,24,81,73,59,4
Normal,SL Benfica,SL Benfica,2023,6'2,208141,8,27-08-2018,,Gabriel,BRAZIL,Yes,CM,Left,€23.9M,€11.5M,€11K,181lbs,High/ Medium,67,24,73,65,67,82,69,68,74,81,904,68,73,High,12,8,14,15,15,75,71,1,81,73,78,72,1,77,66,70,81,76,76,77,3,72,2086,51,73,76,79,77,61,5
Stocky,SD Eibar,SD Eibar,2019,6'2,146701,4,16-08-2015,,Iván Ramis,Spain,No,LCB,Right,€7.6M,€3.6M,€22K,181lbs,Medium/ High,34,33,84,52,50,70,66,45,67,51,905,54,77,Low,7,15,9,8,11,76,77,2,76,72,65,75,1,77,65,52,77,69,71,76,2,73,1860,35,67,78,90,50,59,3
Normal,FC Basel 1893,FC Basel 1893,2019,6'0,181262,17,01-07-2014,,M. Suchý,Czech Republic,No,CB,Right,€9.8M,€6.5M,€26K,185lbs,Low/ High,63,30,72,65,65,65,77,43,32,60,906,48,39,Low,14,11,15,15,7,77,74,1,79,70,52,74,1,77,64,32,77,72,72,64,2,77,1824,67,80,79,84,50,43,3
Stocky,Feyenoord,Feyenoord,2020,5'9,203535,20,01-04-2011,,T. Vilhena,Netherlands,No,CM,Left,€17M,€11.5M,€13K,165lbs,High/ High,75,23,84,75,83,80,80,75,74,77,907,70,69,High,12,8,16,12,12,67,75,2,76,76,77,66,1,77,53,70,81,77,77,80,3,68,2130,72,85,72,75,74,68,4
Normal,Al Wehda,Al Wehda,2022,5'7,199952,5,01-07-2018,,E. Çolak,Turkey,Yes,CAM,Left,€16.2M,€9.5M,€27K,148lbs,Medium/ Medium,71,27,52,82,90,80,71,77,75,77,908,71,79,Low,7,12,15,6,7,65,45,2,37,77,73,35,1,77,72,72,77,74,78,71,4,43,1911,68,69,44,40,77,70,3
Lean,Olympique de Marseille,Olympique de Marseille,2021,5'11,203280,28,26-06-2017,,V. Germain,France,No,ST,Right,€17.1M,€9M,€49K,161lbs,Medium/ Medium,75,28,65,91,71,75,77,74,77,73,909,78,74,High,14,7,11,9,14,78,44,2,80,64,76,45,1,77,76,80,77,78,73,77,3,18,1991,77,80,21,61,79,76,4
Lean,BSC Young Boys,BSC Young Boys,2020,6'4,156432,99,30-08-2014,,G. Hoarau,France,Yes,LS,Right,€7M,€4.7M,€26K,187lbs,Medium/ Low,45,34,63,68,59,72,77,66,66,68,910,83,54,Low,1,1,1,1,1,84,34,2,70,62,69,32,1,77,80,82,77,78,75,77,3,35,1831,51,67,53,89,69,75,2
Normal,RCD Espanyol,RCD Espanyol,2019,5'9,135697,9,01-07-2017,,Sergio García,Spain,No,LW,Right,€8.6M,€4.1M,€23K,159lbs,Medium/ Medium,68,35,61,66,73,78,80,77,80,82,911,76,64,High,12,6,11,15,12,70,29,2,54,72,74,40,1,77,80,81,77,78,76,77,4,28,1914,69,54,30,72,77,72,2
Normal,Paris Saint-Germain,Europe league,2020,6'3,183569,11,31-08-2018,,E. Choupo-Moting,Cameroon,No,ST,Right,€16.7M,€9M,€75K,201lbs,Medium/ Medium,76,29,55,76,66,80,75,65,74,83,912,75,44,Low,9,9,9,16,6,74,40,2,67,70,64,31,1,77,68,77,77,74,74,77,4,20,1890,78,76,36,76,70,75,4
Normal,River Plate,River Plate,2020,5'11,146963,22,27-06-2017,,J. Pinola,Argentina,No,LCB,Left,€2.9M,€2.1M,€16K,174lbs,High/ Medium,68,35,82,65,67,65,60,65,65,63,913,38,55,Low,8,12,11,7,11,74,74,2,81,68,59,79,1,77,38,59,77,75,76,71,2,72,1904,70,67,74,81,58,46,3
Normal,PSV,PSV,2020,5'11,212755,8,07-12-2011,,J. Hendrix,Netherlands,No,LCM,Left,€14.8M,€10M,€13K,165lbs,Medium/ High,72,23,80,73,74,75,77,59,52,70,914,54,45,High,14,8,12,8,11,73,78,1,78,83,57,75,1,77,54,69,82,74,76,72,2,75,1991,69,85,73,73,66,54,3
Normal,Brighton & Hove Albion,Europe league,2021,5'7,219411,19,16-08-2017,,J. Izquierdo,COLOMBIANA,Yes,LM,Right,€20.7M,€10.5M,€45K,165lbs,High/ High,92,25,27,91,84,78,72,70,75,81,915,71,34,High,13,8,12,7,13,60,37,2,67,63,77,48,1,77,58,75,78,71,69,80,4,30,1860,90,74,21,59,71,54,3
Normal,Dynamo Kyiv,Dynamo Kyiv,2023,6'2,220948,5,01-01-2013,,S. Sydorchuk,Ukraine,No,CM,Right,€21.8M,€10M,€1K,176lbs,High/ High,68,27,54,57,48,77,76,50,40,70,916,63,49,Low,8,14,16,13,12,46,79,1,59,75,72,72,1,77,41,69,78,77,79,47,3,67,1820,65,78,75,73,76,31,3
Normal,Stade Rennais FC,Stade Rennais FC,2021,6'1,187924,8,24-07-2018,,C. Grenier,France,Yes,LDM,Right,€19.8M,€10M,€32K,159lbs,Medium/ Medium,55,27,63,62,74,81,78,79,79,75,917,72,82,Low,14,11,10,11,6,73,62,2,54,80,80,60,1,77,78,78,78,71,79,83,4,49,2031,58,66,59,73,80,74,4
Normal,Borussia Mönchengladbach,Borussia Mönchengladbach,2020,6'2,207894,5,01-07-2016,,T. Strobl,Germany,No,CDM,Right,€11.9M,€7M,€27K,170lbs,Medium/ Medium,51,28,83,48,44,58,73,51,44,59,918,30,45,High,11,8,8,16,12,69,80,2,70,79,62,81,1,77,47,55,77,77,74,79,2,77,1804,55,73,79,78,66,35,3
Stocky,KAA Gent,KAA Gent,2020,6'0,175895,8,21-07-2018,,V. Odjidja-Ofoe,Belgium,Yes,CM,Right,€12.8M,€8.5M,€24K,174lbs,High/ Medium,59,29,75,52,51,78,75,70,64,76,919,69,70,Low,10,16,11,13,9,68,65,2,74,78,76,60,1,77,72,69,77,68,82,82,3,69,2035,62,75,70,83,81,78,4
Normal,Tigres U.A.N.L.,Tigres U.A.N.L.,2020,6'4,176919,1,04-07-2014,,N. Guzmán,Argentina,No,GK,Right,€8M,€5M,€38K,207lbs,Medium/ Medium,51,32,33,70,57,25,65,20,18,21,920,10,22,High,76,75,67,80,78,15,29,3,66,46,17,26,1,77,12,19,77,75,40,25,1,12,1334,52,38,13,79,55,12,3
Stocky,Boca Juniors,Boca Juniors,2019,5'8,214040,18,24-01-2016,,F. Fabra,COLOMBIANA,No,LB,Left,€11.8M,€8M,€22K,159lbs,High/ Low,86,27,72,85,75,76,70,74,60,78,921,50,34,Low,7,15,13,9,7,67,72,1,86,57,54,66,1,77,55,71,78,71,73,67,3,76,1976,88,89,75,81,54,33,3
Lean,Leicester City,Leicester City,2023,5'9,220697,22,20-06-2018,,J. Maddison,England,No,CAM,Right,€27.3M,€13M,€45K,161lbs,High/ Medium,77,21,56,85,78,82,76,74,78,77,922,69,79,Low,11,14,14,12,14,30,45,1,54,72,73,37,1,77,74,69,85,68,78,83,4,34,1908,74,67,40,40,81,69,4
Normal,Al Ittihad,Al Ittihad,2020,5'11,162329,20,09-07-2018,,K. El Ahmadi,Morocco,Yes,RDM,Right,€6.1M,€3.6M,€35K,157lbs,Medium/ Medium,65,33,83,74,70,76,83,60,68,73,923,54,50,Low,12,16,11,14,8,60,75,2,67,79,66,68,1,77,69,64,77,79,79,74,3,73,2017,63,81,77,73,74,62,2
Lean,Standard de Liège,Standard de Liège,2020,5'9,184089,10,01-07-2018,,M. Carcela-González,Morocco,No,RM,Left,€12.8M,€8.5M,€19K,148lbs,High/ Low,90,29,47,89,80,81,84,70,80,84,924,72,71,Low,8,15,14,7,12,35,39,2,87,69,74,26,1,77,65,74,77,75,72,77,4,30,1923,80,69,38,54,69,70,3
Normal,Southampton,Southampton,2021,5'11,198683,20,31-01-2017,,M. Gabbiadini,Italy,Yes,ST,Left,€20.7M,€10.5M,€51K,159lbs,High/ Low,67,26,57,70,56,79,71,70,78,77,925,79,77,Low,12,11,11,5,5,66,18,2,74,64,77,21,1,77,72,79,78,74,72,82,3,20,1845,70,63,24,71,72,72,3
Lean,Watford,Watford,2019,6'3,135451,1,24-05-2014,,Gomes,BRAZIL,Yes,GK,Right,€1.1M,€600K,€25K,209lbs,Medium/ Medium,50,37,40,56,53,25,59,15,12,15,926,15,13,High,80,72,60,77,83,14,20,2,76,19,14,19,1,77,41,12,77,71,23,30,1,15,1249,52,27,14,64,59,13,2
Normal,Newcastle United,Newcastle United,2021,5'8,186395,11,01-07-2016,,M. Ritchie,Scotland,Yes,RM,Left,€17.1M,€9M,€49K,168lbs,High/ Medium,75,28,73,71,84,76,72,80,74,77,927,72,66,High,15,8,11,14,13,38,49,1,70,72,77,56,1,77,72,76,77,75,75,76,4,54,2015,73,76,57,59,76,75,4
Normal,Racing Club,Racing Club,30-Jun-19,5'10,188955,7,,Club Tijuana,G. Bou,Argentina,No,ST,Right,,€9M,€26K,176lbs,Medium/ Low,78,28,52,74,76,77,78,69,66,77,928,77,71,High,6,6,15,16,7,74,39,1,77,61,73,19,1,77,71,78,77,74,71,80,4,21,1905,78,80,22,75,71,74,4
Normal,Villarreal CF,Villarreal CF,2020,6'0,146460,18,30-01-2018,,Javi Fuego,Spain,No,CDM,Right,€5.7M,€2.7M,€28K,163lbs,Medium/ High,53,34,82,64,61,70,86,59,64,62,929,54,62,High,7,13,14,10,14,60,82,2,70,71,64,80,1,77,60,58,77,77,77,72,2,78,1928,42,69,79,77,70,53,3
Lean,Galatasaray SK,Galatasaray SK,2021,5'11,230685,20,18-08-2018,,E. Akbaba,Turkey,No,CAM,Left,€21.7M,€11M,€51K,161lbs,High/ High,73,25,64,76,69,77,74,71,76,76,930,70,74,Low,14,11,6,11,8,62,51,1,58,77,75,57,1,77,75,77,80,69,76,77,4,45,1997,77,83,55,61,78,68,3
Normal,Olympique de Marseille,Olympique de Marseille,2021,5'9,219681,18,01-07-2018,,J. Amavi,France,No,LB,Left,€19.8M,€10M,€34K,154lbs,High/ Medium,78,24,72,75,76,76,67,79,74,73,931,60,49,High,11,10,11,14,12,64,73,1,82,66,68,72,1,77,65,69,82,76,74,76,3,77,2064,80,78,75,70,70,59,4
Stocky,KRC Genk,KRC Genk,2022,5'11,231969,18,01-07-2017,,R. Malinovskyi,Ukraine,No,RCM,Left,€18.1M,€11.5M,€17K,187lbs,Medium/ Medium,69,25,72,71,65,78,75,79,84,75,932,69,87,High,6,6,12,15,13,69,62,1,68,77,84,54,1,77,66,69,81,74,81,88,4,58,2085,73,78,66,69,78,70,4
Normal,Arsenal,Europe league,2019,6'1,186146,21,02-09-2014,,D. Welbeck,England,Yes,LW,Right,€18.1M,€9.5M,€95K,161lbs,High/ High,76,27,75,76,62,78,76,69,61,78,933,75,62,High,9,10,6,12,16,78,32,3,80,64,69,47,1,77,70,79,77,78,75,78,3,33,1965,83,74,38,75,71,76,3
Lean,SL Benfica,SL Benfica,2023,6'4,221219,2,01-07-2018,,G. Conti,Argentina,No,CB,Right,€23.1M,€10.5M,€10K,176lbs,Low/ Medium,64,23,76,51,41,53,72,32,40,42,934,37,31,High,14,8,12,16,13,79,75,1,70,63,30,79,1,77,47,32,83,70,71,50,2,78,1670,72,79,82,80,51,32,2
Stocky,Getafe CF,Getafe CF,2020,6'1,200228,4,05-07-2017,,Bruno,Spain,No,CB,Right,€17.4M,€8M,€23K,190lbs,Medium/ Medium,32,28,81,31,32,68,69,21,49,34,935,23,31,Low,12,9,8,13,8,81,78,1,65,68,22,61,1,77,42,36,78,79,73,66,2,80,1536,35,71,81,88,35,23,3
Normal,Galatasaray SK,Galatasaray SK,2021,5'8,210212,7,10-01-2017,,Garry Rodrigues,Cape Verde,No,LM,Right,€18.1M,€9.5M,€53K,154lbs,Medium/ Medium,89,27,70,91,87,75,66,74,74,77,936,71,61,Low,15,7,15,10,6,56,44,2,65,68,70,42,1,77,61,74,77,77,72,76,4,44,1989,90,86,40,60,70,72,3
Normal,SC Freiburg,SC Freiburg,2020,6'2,202789,1,01-01-2012,,A. Schwolow,Germany,No,GK,Right,€13.1M,€7M,€19K,185lbs,Medium/ Medium,36,26,26,40,42,22,32,9,13,15,937,12,16,High,76,77,71,72,79,12,13,1,72,23,15,16,1,77,22,10,78,74,26,21,1,9,1117,38,31,17,67,34,11,3
Normal,Bournemouth,Bournemouth,2022,5'9,224294,16,08-07-2016,,L. Cook,England,Yes,CM,Right,€26.3M,€12.5M,€44K,157lbs,Medium/ Medium,74,21,79,75,84,80,74,67,66,78,938,57,65,Low,6,15,12,15,13,50,69,1,68,80,62,64,1,77,61,68,84,74,79,64,3,69,2006,68,78,71,63,75,57,4
Normal,Boca Juniors,Boca Juniors,2020,5'9,215079,8,30-12-2014,,P. Pérez,Argentina,No,CM,Right,€9.1M,€6.5M,€24K,176lbs,Medium/ High,69,32,92,72,74,79,74,67,65,72,939,61,72,High,10,7,16,15,14,58,72,1,60,76,65,70,1,77,59,69,77,80,78,69,3,72,2028,69,74,75,78,80,39,3
Normal,Internacional,Internacional,2021,6'1,230183,19,01-01-2018,,Gazzolisco,BRAZIL,No,LB,Left,€12.4M,€6.5M,€26K,161lbs,High/ High,81,30,94,67,66,72,77,76,81,71,940,54,77,Low,9,16,8,8,10,77,67,1,72,67,77,74,1,77,77,57,77,72,77,84,3,75,2123,82,89,77,82,56,71,5
Normal,Beijing Sinobo Guoan FC,Asia clubs,2018,5'11,110376,9,26-02-2017,,Jonatan Soriano,Spain,No,ST,Right,€15.4M,€7M,€23K,159lbs,Medium/ Low,67,32,58,79,70,78,77,61,84,80,941,83,83,Low,6,8,8,15,6,66,45,2,73,69,75,25,1,77,78,80,77,78,79,75,4,24,1919,53,70,22,69,77,75,3
Lean,SD Eibar,SD Eibar,2021,5'7,211241,11,01-07-2016,,Rubén Peña,Spain,No,RB,Right,€18.5M,€8.5M,€22K,143lbs,Medium/ Medium,81,26,61,83,87,79,72,78,52,78,942,71,55,Low,7,11,10,16,10,74,72,1,74,56,66,61,1,77,64,78,78,75,77,72,4,79,2063,88,77,78,64,63,66,3
Lean,Athletic Club de Bilbao,Athletic Club de Bilbao,2020,6'2,185132,6,01-07-2010,,Mikel San José,Spain,Yes,CM,Right,€17.9M,€8.5M,€25K,174lbs,Medium/ Medium,33,29,76,41,52,75,70,47,31,66,943,60,44,High,10,6,10,8,16,81,80,2,77,77,73,77,1,77,51,71,77,80,78,71,3,74,1888,38,76,79,79,76,75,3
Lean,Brighton & Hove Albion,Europe league,2022,5'11,190765,13,01-07-2017,,P. Groß,Germany,Yes,CAM,Right,€19.8M,€10M,€47K,172lbs,High/ High,63,27,66,66,73,77,78,84,82,75,944,72,77,Low,8,15,15,16,11,53,67,2,70,81,74,57,1,77,65,76,78,76,80,74,4,61,2074,65,93,62,71,84,65,4
Normal,Everton,Everton,2019,5'7,163631,3,07-08-2007,,L. Baines,England,Yes,LB,Left,€6.5M,€3.4M,€74K,154lbs,High/ Medium,66,33,74,69,83,80,84,84,81,75,945,63,81,Low,8,15,10,13,12,74,77,3,67,74,71,76,1,77,90,73,77,79,78,84,3,77,2126,59,64,78,55,73,63,3
Normal,West Ham United,West Ham United,2022,6'3,183855,21,10-07-2015,,A. Ogbonna,Italy,Yes,CB,Left,€12.4M,€6.5M,€65K,190lbs,Medium/ Medium,59,30,72,57,54,59,69,51,51,61,946,25,36,High,5,3,5,4,4,77,80,2,74,67,46,76,1,77,39,33,77,70,68,68,2,80,1693,64,64,81,80,50,30,3
Normal,Roma,Roma,2020,6'1,200752,5,30-01-2012,,Juan Jesus,BRAZIL,Yes,CB,Left,€12.8M,€7.5M,€51K,183lbs,Low/ High,76,27,88,68,58,55,72,66,48,60,947,20,36,High,12,11,7,8,14,74,77,2,88,56,35,77,1,77,37,38,77,72,58,62,2,76,1742,78,75,79,82,34,17,2
Normal,Portimonense SC,Portimonense SC,30-Jun-19,6'1,196144,9,,Guangzhou Evergrande Taobao FC,J. Martínez,COLOMBIANA,No,ST,Right,,€8M,€22K,176lbs,High/ Medium,72,31,75,72,58,75,73,56,70,71,948,73,46,High,15,5,12,14,14,84,47,3,77,58,72,12,1,77,70,76,77,73,70,81,3,33,1900,67,75,47,85,70,75,4
Normal,Borussia Mönchengladbach,Borussia Mönchengladbach,2021,6'2,221491,4,01-07-2015,,N. Elvedi,Switzerland,No,RCB,Right,€20.9M,€11M,€19K,172lbs,Medium/ Medium,73,21,69,66,54,71,65,65,45,69,949,30,29,Low,9,15,10,12,9,79,79,2,73,55,31,75,1,77,37,53,84,74,72,42,3,76,1772,77,78,79,77,59,30,3
Normal,Shanghai Greenland Shenhua FC,Shanghai Greenland Shenhua FC,2019,6'4,196147,10,01-07-2012,,G. Moreno,COLOMBIANA,No,CAM,Left,€15.1M,€7M,€17K,183lbs,Medium/ Medium,76,32,72,74,79,78,74,63,69,80,950,74,62,High,7,13,12,15,15,80,43,1,82,66,73,53,1,77,78,79,77,72,75,76,4,62,2065,74,80,50,76,79,78,2
Normal,Colo-Colo,Colo-Colo,2019,5'8,157492,10,20-06-2017,,J. Valdivia,Chile,No,CAM,Right,€6.3M,€4.5M,€10K,157lbs,Medium/ Medium,67,34,57,77,78,78,73,71,71,76,951,62,67,Low,14,11,6,8,11,60,46,2,48,71,69,29,1,77,76,62,77,72,86,73,4,21,1850,69,71,39,63,86,55,4
Normal,West Ham United,West Ham United,2019,6'4,182836,9,19-06-2013,,A. Carroll,England,Yes,ST,Left,€17.1M,€9M,€80K,174lbs,Medium/ High,43,29,88,57,47,74,76,60,53,67,952,77,42,Low,14,14,12,10,6,91,45,2,83,57,76,26,1,77,73,78,77,77,66,83,2,43,1839,50,50,46,92,65,74,3
Lean,,,,6'2,204341,4,,,Luís Neto,Portugal,No,CB,Right,, 0, 0,157lbs,Medium/ Medium,57,30,76,69,61,48,72,42,52,49,953,33,43,Low,10,15,13,15,8,80,78,1,79,77,37,80,1,77,47,44,77,78,72,42,2,78,1749,59,72,77,72,46,40,3
Normal,Shakhtar Donetsk,Shakhtar Donetsk,2020,6'3,142902,30,01-01-2007,,A. Pyatov,Ukraine,No,GK,Right,€7.6M,€3.6M,€1K,198lbs,Medium/ Medium,44,34,35,56,32,12,52,13,14,11,954,9,16,High,75,69,82,80,81,10,23,2,73,24,12,12,1,77,15,14,77,74,29,19,1,10,1187,44,37,9,78,63,12,3
Normal,Junior FC,Junior FC,2022,5'10,196150,29,21-06-2017,,T. Gutiérrez,COLOMBIANA,No,ST,Right,€7.7M,€5.5M,€6K,179lbs,Medium/ Low,63,33,80,72,74,81,82,70,67,77,955,80,63,Low,14,13,11,6,13,73,25,2,80,69,76,21,1,77,72,81,77,75,73,78,4,20,1904,59,67,26,75,76,74,3
Lean,Athletic Club de Bilbao,Athletic Club de Bilbao,2019,6'3,227127,1,01-07-2013,,Álex Remiro,Spain,No,GK,Right,€20.7M,€9M,€15K,183lbs,Medium/ Medium,40,23,34,69,40,17,55,12,14,19,956,13,17,High,82,72,78,74,77,13,20,1,61,25,11,14,1,77,24,11,83,69,29,22,1,18,1191,46,42,17,68,28,15,3
Normal,SC Braga,SC Braga,2020,5'10,199737,7,31-08-2015,,Wilson Eduardo,Portugal,No,RS,Right,€19M,€9.5M,€17K,161lbs,High/ Medium,78,27,59,73,68,78,80,75,82,78,957,76,71,Low,13,12,11,9,11,66,24,1,64,63,80,25,1,77,77,79,77,77,73,83,4,23,1928,81,68,33,68,73,77,3
Normal,1. FC Köln,1. FC Köln,2023,6'0,223033,22,20-07-2017,,Jorge Meré,Spain,No,CB,Right,€17.9M,€10.5M,€15K,176lbs,Medium/ Medium,69,21,75,67,74,69,63,30,34,55,958,22,33,Low,15,12,11,8,8,78,79,1,81,62,27,76,1,77,51,25,83,76,74,48,2,77,1692,68,67,78,72,38,33,3
Lean,Arsenal,Europe league,2022,5'11,213051,17,14-01-2016,,M. Elneny,Egypt,Yes,RDM,Right,€17.8M,€9M,€76K,163lbs,Medium/ High,58,25,73,65,62,76,77,66,69,68,959,57,56,Low,7,15,15,12,6,57,76,1,69,77,67,76,1,77,62,63,79,75,80,76,3,72,1958,60,92,74,68,70,39,3
Normal,Deportivo Alavés,Concaf clubs,2020,6'0,214332,16,20-07-2016,,D. Torres,COLOMBIANA,No,CDM,Right,€14.7M,€7M,€24K,179lbs,Medium/ High,57,28,87,68,62,70,77,62,57,69,960,55,50,High,15,11,8,15,12,61,81,1,81,74,61,75,1,77,72,62,77,80,73,73,3,73,1968,53,79,75,78,71,48,3
Lean,Girona FC,Girona FC,2019,6'4,209981,13,12-07-2016,,Y. Bounou,Morocco,No,GK,Left,€16.3M,€7.5M,€22K,172lbs,Medium/ Medium,37,27,25,38,29,12,57,15,12,20,961,14,19,Low,74,79,75,77,75,14,12,1,48,44,19,20,1,77,24,10,80,74,39,25,1,15,1164,34,43,18,69,42,13,3
Normal,PAOK,PAOK,2021,6'3,189757,9,16-01-2017,,A. Prijović,Serbia,No,ST,Right,€18.9M,€9M,€1K,194lbs,High/ Low,74,28,69,54,51,75,80,45,52,70,962,79,43,Low,7,16,15,8,6,80,31,1,74,55,68,28,1,77,66,80,77,74,64,73,3,29,1769,72,75,33,86,55,62,3
Normal,Brighton & Hove Albion,Europe league,2023,5'11,215871,16,25-07-2018,,A. Jahanbakhsh,Iran,Yes,RM,Right,€22.7M,€11.5M,€41K,172lbs,High/ High,79,24,68,76,75,79,75,71,64,83,963,72,46,Low,13,11,9,7,7,62,42,2,87,62,79,42,1,77,58,72,80,74,72,84,4,40,1945,83,78,37,66,75,72,4
Normal,Deportivo Alavés,Concaf clubs,2019,5'11,219455,12,18-01-2016,,J. Calleri,Argentina,Yes,LS,Right,€26.1M,€12M,€24K,170lbs,High/ Medium,71,24,65,72,79,75,74,56,57,74,964,76,35,Low,11,12,8,8,6,83,37,1,83,58,69,55,1,77,62,79,82,77,66,78,4,32,1878,72,74,39,71,67,71,2
Lean,Atlético Mineiro,Atlético Mineiro,2021,5'10,230463,20,01-01-2018,,Simão Acunha,BRAZIL,No,CAM,Right,€16.2M,€8.5M,€35K,157lbs,High/ Low,83,30,48,81,74,78,71,74,87,76,965,66,61,Low,7,12,11,12,12,60,45,1,64,73,72,30,1,77,67,67,77,78,79,71,4,22,1903,77,73,32,64,80,67,2
Lean,Eintracht Frankfurt,Eintracht Frankfurt,2020,5'8,183871,27,01-07-2018,,N. Müller,Germany,No,RM,Right,€14.5M,€8.5M,€34K,146lbs,High/ Medium,84,30,71,85,83,75,77,75,65,83,966,75,61,Low,6,16,6,7,14,56,48,2,78,66,63,36,1,77,73,75,77,74,71,71,3,37,1960,78,73,49,57,69,80,3
Normal,Olympique de Marseille,Olympique de Marseille,2020,6'2,205632,5,01-07-2015,,L. Ocampos,Argentina,No,LM,Right,€23.7M,€12M,€38K,185lbs,High/ High,78,23,83,77,58,76,74,75,69,74,967,75,65,Low,11,8,15,12,7,75,67,2,76,70,72,63,1,77,70,73,82,82,75,77,4,48,2073,79,85,52,78,73,75,3
Normal,West Bromwich Albion,West Bromwich Albion,2021,6'1,169792,19,02-07-2017,,J. Rodriguez,England,Yes,RS,Right,€17.1M,€9M,€41K,185lbs,High/ Medium,75,28,41,75,64,75,75,68,69,75,968,77,29,Low,12,12,16,14,9,76,44,2,81,66,72,47,1,77,77,78,77,76,72,74,3,21,1890,77,76,28,72,69,73,4
Normal,Hertha BSC,Hertha BSC,2019,6'2,162369,19,30-08-2015,,V. Ibišević,Bosnia Herzegovina,No,LS,Right,€9.4M,€5.5M,€31K,181lbs,Medium/ Low,41,33,83,60,59,76,79,65,73,72,969,80,56,High,16,12,13,14,16,79,30,2,71,47,66,59,1,77,83,82,77,83,77,81,3,22,1872,44,51,29,77,71,84,3
Stocky,Newcastle United,Newcastle United,30-Jun-19,6'1,189250,23,,West Bromwich Albion,S. Rondón,Venezuela,Yes,RS,Right,,€9M,€41K,216lbs,High/ Medium,69,28,72,66,46,71,76,48,53,70,970,75,52,High,13,13,7,5,14,84,33,2,71,40,68,36,1,77,65,77,77,73,68,85,3,13,1763,68,72,23,85,53,75,4
